 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
3/1994,  0,  0,  0,  0,  0,  0, 83,169,190,176,118,  8,  0,  0,  0,  0
4/1994,  0,  0,  0,  0,  0,  0, 23, 55,118,222,211, 91,  0,  0,  0,  0
5/1994,  0,  0,  0,  0,  0,  0,  0, 11, 71,208,303,151,  0,  0,  0,  0
6/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0,  8,336,315, 61,  0,  0,  0
7/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0, 17,323,373, 31,  0,  0,  0
8/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,314,385, 43,  0,  0,  0
9/1994,  0,  0,  0,  0,  0,  0,  0,  2, 40,138,317,215,  8,  0,  0,  0
10/1994,  0,  0,  0,  0,  0,  0, 13, 29,154,282,219, 47,  0,  0,  0,  0
11/1994,  0,  0,  0,  0,  0,  0, 34,100,234,241,101, 10,  0,  0,  0,  0
12/1994,  0,  0,  0,  0,  0, 27,138,200,237,126, 16,  0,  0,  0,  0,  0
1/1995,  0,  0,  0,  0,  0, 39,223,231,148, 88, 15,  0,  0,  0,  0,  0
2/1995,  0,  0,  0,  0,  0, 66,130,186,166, 97, 22,  5,  0,  0,  0,  0
3/1995,  0,  0,  0,  0,  0, 16, 79,116,225,207, 84, 17,  0,  0,  0,  0
4/1995,  0,  0,  0,  0,  0,  0, 10, 72,172,240,174, 52,  0,  0,  0,  0
5/1995,  0,  0,  0,  0,  0,  0,  0,  2, 67,155,307,188, 25,  0,  0,  0
6/1995,  0,  0,  0,  0,  0,  0,  0,  0, 16, 81,309,278, 36,  0,  0,  0
7/1995,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,219,390,133,  0,  0,  0
8/1995,  0,  0,  0,  0,  0,  0,  0,  0,  1, 10,157,392,184,  0,  0,  0
9/1995,  0,  0,  0,  0,  0,  0,  0,  0, 55,139,254,227, 45,  0,  0,  0
10/1995,  0,  0,  0,  0,  0,  0,  4, 66,168,246,197, 63,  0,  0,  0,  0
11/1995,  0,  0,  0,  0,  0, 11,151,225,152,127, 54,  0,  0,  0,  0,  0
12/1995,  0,  0,  0,  0,  5,154,172,119,112,145, 37,  0,  0,  0,  0,  0
1/1996,  0,  0,  0,  0, 18,125,201,139,159, 98,  4,  0,  0,  0,  0,  0
